algorithm,pathway_id,precision,recall_at_6_hops,f1_score,path_length_accuracy,hub_node_ratio,mrr,edit_distance,relation_accuracy,predicted_length,ground_truth_length
Dijkstra,methotrexate_Burkitt's_lymphoma,0.6666666666666666,0.5,0.5714285714285715,0.75,0.3333333333333333,0.0,0.5,0.0,3,4
Dijkstra,methotrexate_Malignant_tumor_of_lung,0.6666666666666666,0.5,0.5714285714285715,0.75,1.0,0.0,0.5,1.0,3,4
Dijkstra,gabapentin_enacarbil_Restless_legs,0.4,0.5,0.4444444444444445,0.8,0.4,0.0,0.6,0.25,5,4
Dijkstra,ibuprofen_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,dexamfetamine_Attention_deficit_hyperactivit,1.0,0.42857142857142855,0.6,0.4285714285714286,0.3333333333333333,1.0,0.5714285714285714,1.0,3,7
Dijkstra,tretinoin_Acute_promyelocytic_leukemia_F,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.0,3,4
Dijkstra,secobarbital_Epilepsy,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.6666666666666666,0.0,0.6666666666666666,1.0,3,6
Dijkstra,indomethacin_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,ruxolitinib_Polycythemia_vera,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,1.0,3,6
Dijkstra,tiaprofenic_acid_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,Thiopental_Epilepsy,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.6666666666666666,0.0,0.6666666666666666,1.0,3,6
Dijkstra,pazopanib_Renal_cell_carcinoma,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,1.0,3,6
Dijkstra,calcifediol_Renal_osteodystrophy,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.3333333333333333,4,4
Dijkstra,calcifediol_Hypophosphatemia,0.5,0.5,0.5,1.0,0.25,0.0,0.5,0.3333333333333333,4,4
Dijkstra,calcifediol_Rickets,0.6666666666666666,0.5,0.5714285714285715,0.75,0.0,0.0,0.5,0.5,3,4
Dijkstra,vernakalant_Atrial_fibrillation,1.0,0.6,0.7499999999999999,0.6,1.0,1.0,0.4,1.0,3,5
Dijkstra,chlorphenamine_Vasomotor_rhinitis,1.0,0.75,0.8571428571428571,0.75,0.6666666666666666,1.0,0.25,1.0,3,4
Dijkstra,cabozantinib_Renal_cell_carcinoma,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,1.0,3,6
Dijkstra,piroxicam_Rheumatoid_arthritis,0.6666666666666666,0.5,0.5714285714285715,0.75,1.0,0.0,0.5,0.0,3,4
Dijkstra,salicylic_acid_Rheumatoid_arthritis,1.0,0.6,0.7499999999999999,0.6,1.0,1.0,0.4,1.0,3,5
Dijkstra,glipizide_Diabetes_mellitus_type_2,0.6666666666666666,0.5,0.5714285714285715,0.75,1.0,0.0,0.5,1.0,3,4
Dijkstra,tamibarotene_Acute_promyelocytic_leukemia_F,1.0,0.75,0.8571428571428571,0.75,0.3333333333333333,1.0,0.25,1.0,3,4
Dijkstra,fenoprofen_Rheumatoid_arthritis,0.6666666666666666,0.5,0.5714285714285715,0.75,1.0,0.0,0.5,0.0,3,4
Dijkstra,loxoprofen_Rheumatoid_arthritis,1.0,0.75,0.8571428571428571,0.75,1.0,1.0,0.25,1.0,3,4
Dijkstra,doxepin_Anxiety,1.0,0.75,0.8571428571428571,0.75,0.6666666666666666,1.0,0.25,1.0,3,4
Dijkstra,glibenclamide_Diabetes_mellitus_type_2,0.6666666666666666,0.5,0.5714285714285715,0.75,1.0,0.0,0.5,1.0,3,4
Dijkstra,phenobarbital_Epilepsy,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.6666666666666666,0.0,0.6666666666666666,1.0,3,6
Dijkstra,phenobarbital_Tonic-clonic_seizure,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,0.0,0.6666666666666666,1.0,3,6
Dijkstra,phenobarbital_Simple_partial_seizure,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,0.0,0.6666666666666666,1.0,3,6
Dijkstra,risperidone_Autistic_Disorder,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,1.0,3,4
Dijkstra,salicylsalicylic_acid_Arthritis_Rheumatoid,1.0,0.6,0.7499999999999999,0.6,1.0,1.0,0.4,1.0,3,5
Dijkstra,tolazamide_Diabetes_Mellitus_Type_2,1.0,0.75,0.8571428571428571,0.75,0.6666666666666666,1.0,0.25,1.0,3,4
Dijkstra,carbimazole_Hyperthyroidism,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,4,4
Dijkstra,carbimazole_Graves'_disease,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,4,4
Dijkstra,lisdexamfetamine_Attention_deficit_hyperactivit,0.4,0.25,0.3076923076923077,0.625,0.2,0.0,0.75,0.5,5,8
Dijkstra,hydrocortisone_Arthritis_Rheumatoid,0.6666666666666666,0.2,0.30769230769230765,0.30000000000000004,0.6666666666666666,0.0,0.8,0.0,3,10
Dijkstra,hydrocortisone_Asthma,0.6666666666666666,0.2,0.30769230769230765,0.30000000000000004,0.6666666666666666,0.0,0.8,1.0,3,10
Dijkstra,hydrocortisone_Berylliosis,0.5,0.18181818181818182,0.26666666666666666,0.36363636363636365,0.75,0.0,0.8181818181818182,0.0,4,11
Dijkstra,hydrocortisone_Brain_Edema,0.4,0.18181818181818182,0.25000000000000006,0.4545454545454546,0.4,0.0,0.8181818181818182,0.0,5,11
Dijkstra,hydrocortisone_Bursitis,0.4,0.2,0.26666666666666666,0.5,0.6,0.0,0.8,0.5,5,10
Dijkstra,hydrocortisone_Dermatitis_Atopic,0.5,0.2,0.28571428571428575,0.4,0.75,0.0,0.8,0.0,4,10
